Name,Event,Date,Second Party,Note,Source
Joseph Smith Jr,Birth,1805-12-23,,,
Joseph Smith Jr,Death,1844-06-27,,,
Joseph Smith Jr,Marriage,1827-01-18,Emma Hale,,https://www.josephsmithpapers.org/person/emma-hale-smith
Emma Hale,Birth,1804-07-10,,,https://www.josephsmithpapers.org/person/emma-hale-smith
Emma Hale,Death,1879-06-30,,,
Emma Smith,Marriage,1847-12-23,Lewis Crum Bidamon,,https://www.josephsmithpapers.org/person/emma-hale-smith
Joseph Smith Jr,Marriage,1833-01-01,Fanny Alger,1833-1837,https://read.cesletter.org/polygamy/
Fanny Alger,Birth,1817-09-30,"",,https://www.ancestry.com/boards/localities.northam.usa.states.indiana.counties.wayne/1215
Fanny Alger,Death,1889-11-29,,,
Fanny Alger,Marriage,1836-11-16,Solomon Custer,,https://web.archive.org/web/20170108190414/http://josephsmithspolygamy.org/common-questions/fanny-alger-2/#link_ajs-fn-id_18-82
Joseph Smith Jr,Marriage,1838-01-01,Lucinda Pendleton Morgan Harris,1838-1842,
Lucinda Pendleton Morgan Harris,Birth,1801-09-27,,,"No Man Knows My History, p459"
Lucinda Pendleton Morgan Harris,Marriage,1819-01-01,William Morgan,,https://josephsmithfoundation.org/lucinda-pendleton-morgan-harris/
Lucinda Pendleton Morgan Harris,Marriage,1830-01-01,George Washington Harris,,
Lucinda Pendleton Morgan Harris,Death,1856-01-01,,,https://josephsmithfoundation.org/lucinda-pendleton-morgan-harris/
Lucinda Pendleton Morgan Harris,Divorce,1853-01-01,George Washington Harris,,https://www.josephsmithpapers.org/person/lucinda-pendleton-harris
William Morgan,Birth,1774-01-01,,,https://en.wikipedia.org/wiki/William_Morgan_(anti-Mason)
William Morgan,Death,1826-01-01,,,https://www.josephsmithpapers.org/person/lucinda-pendleton-harris
